"","Berberis_nervosa","Polystichum_munitum","Chrysolepis_chrysophylla","Whipplea_modesta","Linnaea_borealis_var_longiflora","Gaultheria_shallon"
"12",0,0,1.60944,0,0,0
"157",0.69315,0,1.94591,1.60944,0,0
"160",1.60944,0.69315,2.99573,1.38629,2.30259,4.2485
"163",0,2.19722,3.2581,0,1.38629,3.3673
"164",0,0,2.83321,0.69315,1.79176,1.60944
"185",0,0,0,0,0,0
"187",0,2.07944,0,1.60944,0,0
"188",0,0,0,1.38629,0,0
"190",1.09861,0,4.36945,0,1.38629,3.3673
"191",0,1.38629,0,0.69315,0,0
"192",1.38629,2.19722,2.3979,2.83321,1.09861,2.48491
"193",2.48491,0.69315,2.30259,0,0,3.46574
"224",0,1.09861,0,0.69315,1.38629,2.70805
"225",0,0,0,0,0,1.38629
"227",3.3673,0,0,1.09861,0,0
"230",1.09861,0.69315,2.77259,0,2.19722,2.56495
"248",0,0,0,0,0,0
"29",2.83321,2.19722,0,0,1.79176,0
"30",0,0.69315,0,0,1.38629,3.52636
"306",0,0,1.60944,1.79176,0,0
"308",0,0,0,0,0,2.63906
"31",0.69315,0.69315,2.3979,0,0,1.09861
"35",0,0,2.83321,0,0,0
"39",0,0,0,0,0,2.07944
"407",2.19722,0.69315,2.30259,0,0,0
"409",1.94591,1.09861,3.61092,0,1.09861,3.7612
"411",0,0,2.83321,0,0,2.99573
"412",0.69315,0,0,0,1.60944,0
"43",1.38629,0,2.19722,0,2.48491,3.71357
"45",0.69315,0,1.94591,0,0,0
"49",1.60944,1.09861,2.30259,0.69315,0.69315,0
"50",1.60944,2.48491,2.89037,0,3.3673,3.66356
"51",1.94591,1.38629,0,3.13549,1.09861,0
"53",1.09861,1.09861,0,0.69315,0,0
"81",0,0,0,0.69315,0,0
"83",0,0,0,1.38629,1.38629,0
