"","pH","moisture","canopy","elevation","substrate"
"12",1.60938183384249,1.58847129203436,0.547124378884819,-1.66102649256687,"dry_slope"
"157",1.29554322199242,0.980152979489794,0.918285919135885,-1.56611069299162,"dry_slope"
"160",-1.34070111137815,0.152175651604217,1.03490888969248,-1.47119489341637,"mesic_slope"
"163",-1.15239794484655,-0.205103782133725,1.22424835042156,-1.37627909384112,"mesic_slope"
"164",-0.273649833401671,-1.94309704063262,1.31747151485392,-1.28136329426587,"mesic_slope"
"185",1.37400287471392,1.21416780385966,1.31658403684352,-1.18644749469062,"dry_slope"
"187",0.66786600022041,-0.178646997003075,1.01571807095398,-1.09153169511537,"dry_slope"
"188",0.981704611106415,0.468229076773933,0.678799535056944,-0.996615895540124,"dry_slope"
"190",0.730633722397611,-0.0145697954033782,0.234356075302649,-0.901700095964874,"dry_slope"
"191",0.589406347498909,-0.277709650311795,-0.223371067504065,-0.806784296389624,"dry_slope"
"192",-1.52900427790976,0.682965019563637,-0.791225431321905,-0.711868496814374,"mesic_slope"
"193",0.730633722397611,0.0432668493371137,-0.977998813369507,-0.616952697239124,"dry_slope"
"224",-0.430569138844674,-1.47506739189288,-1.29182895298793,-0.522036897663875,"mesic_slope"
"225",-1.05824636158075,-0.200594123991139,-1.4302140952088,-0.427121098088625,"mesic_slope"
"227",-1.21516566702375,0.132483353687448,-1.38715390588218,-0.332205298513375,"mesic_slope"
"230",-0.430569138844674,-1.41723074715239,-1.13563350430589,-0.237289498938125,"mesic_slope"
"248",0.981704611106415,0.64173901099541,-0.71927008080615,-0.142373699362875,"dry_slope"
"29",-0.744407749730678,-0.751075791795215,-0.436731480703635,-0.0474578997876249,"mesic_slope"
"30",-0.901327056137748,-0.417998312188741,-0.00277884323384758,0.0474578997876249,"mesic_slope"
"306",1.29554322199242,1.32717284793275,0.588547462684887,0.142373699362875,"dry_slope"
"308",-0.336417555578872,-1.50911549691062,0.856147246530314,0.237289498938125,"mesic_slope"
"31",-0.19519018068017,-1.61535605376983,1.15026296798955,0.332205298513375,"dry_slope"
"35",0.275567735648837,-0.654681383894395,1.33851300455487,0.427121098088625,"dry_slope"
"39",-0.744407749730678,-0.635402502314231,1.27633846284376,0.522036897663875,"mesic_slope"
"407",0.874999483405174,0.582587018289795,1.25193288849431,0.616952697239124,"dry_slope"
"409",-1.42543753631738,0.765041169841139,0.821156181809946,0.711868496814374,"mesic_slope"
"411",-0.901327056137748,-0.263767259547428,0.485973953542955,0.806784296389624,"mesic_slope"
"412",1.60938183384249,2.10900109469879,0.228647904366107,0.901700095964874,"dry_slope"
"43",-1.37208497246676,0.716186291908168,-0.42684127417736,0.996615895540124,"mesic_slope"
"45",0.197108082927336,-0.676628510882458,-0.728066328413826,1.09153169511537,"dry_slope"
"49",-0.665948097009177,-0.657349629302293,-1.11874885024525,1.18644749469062,"mesic_slope"
"50",-1.05824636158075,0.146425744451815,-1.35924989212167,1.28136329426587,"mesic_slope"
"51",-0.273649833401671,-1.40328835638802,-1.37667047431132,1.37627909384112,"mesic_slope"
"53",0.793401444574812,0.592921682540093,-1.22567779086461,1.47119489341637,"dry_slope"
"81",0.66786600022041,0.361161687241519,-1.01795828192706,1.56611069299162,"dry_slope"
"83",1.37400287471392,1.79253425126458,-0.635597776577447,1.66102649256687,"dry_slope"
