"","Berberis_nervosa_rep1","Berberis_nervosa_rep2","Berberis_nervosa_rep3","Polystichum_munitum_rep1","Polystichum_munitum_rep2","Polystichum_munitum_rep3","Chrysolepis_chrysophylla_rep1","Chrysolepis_chrysophylla_rep2","Chrysolepis_chrysophylla_rep3","Whipplea_modesta_rep1","Whipplea_modesta_rep2","Whipplea_modesta_rep3","Linnaea_borealis_var_longiflora_rep1","Linnaea_borealis_var_longiflora_rep2","Linnaea_borealis_var_longiflora_rep3","Gaultheria_shallon_rep1","Gaultheria_shallon_rep2","Gaultheria_shallon_rep3"
"12",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"157",0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"160",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"163",0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1
"164",0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
"185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"190",1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
"191",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"192",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"193",1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
"224",0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1
"225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"227",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"230",1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1
"248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"30",0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"306",0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"31",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
"35",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"407",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"409",0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1
"411",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
"412",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"43",0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1
"45",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"49",1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0
"50",0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1
"51",1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
"53",1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
