"","sample","plot"
"12","12","plot_1"
"157","157","plot_2"
"160","160","plot_3"
"163","163","plot_4"
"164","164","plot_5"
"185","185","plot_6"
"187","187","plot_7"
"188","188","plot_8"
"190","190","plot_9"
"191","191","plot_10"
"192","192","plot_11"
"193","193","plot_12"
"224","224","plot_1"
"225","225","plot_2"
"227","227","plot_3"
"230","230","plot_4"
"248","248","plot_5"
"29","29","plot_6"
"30","30","plot_7"
"306","306","plot_8"
"308","308","plot_9"
"31","31","plot_10"
"35","35","plot_11"
"39","39","plot_12"
"407","407","plot_1"
"409","409","plot_2"
"411","411","plot_3"
"412","412","plot_4"
"43","43","plot_5"
"45","45","plot_6"
"49","49","plot_7"
"50","50","plot_8"
"51","51","plot_9"
"53","53","plot_10"
"81","81","plot_11"
"83","83","plot_12"
