"","Berberis_nervosa","Polystichum_munitum","Chrysolepis_chrysophylla","Whipplea_modesta","Linnaea_borealis_var_longiflora","Gaultheria_shallon"
"12",0,0,1,0,0,0
"157",1,0,1,1,0,0
"160",1,1,1,1,1,1
"163",0,1,1,0,1,1
"164",0,0,1,1,1,1
"185",0,0,0,0,0,0
"187",0,1,0,1,0,0
"188",0,0,0,1,0,0
"190",1,0,1,0,1,1
"191",0,1,0,1,0,0
"192",1,1,1,1,1,1
"193",1,1,1,0,0,1
"224",0,1,0,1,1,1
"225",0,0,0,0,0,1
"227",1,0,0,1,0,0
"230",1,1,1,0,1,1
"248",0,0,0,0,0,0
"29",1,1,0,0,1,0
"30",0,1,0,0,1,1
"306",0,0,1,1,0,0
"308",0,0,0,0,0,1
"31",1,1,1,0,0,1
"35",0,0,1,0,0,0
"39",0,0,0,0,0,1
"407",1,1,1,0,0,0
"409",1,1,1,0,1,1
"411",0,0,1,0,0,1
"412",1,0,0,0,1,0
"43",1,0,1,0,1,1
"45",1,0,1,0,0,0
"49",1,1,1,1,1,0
"50",1,1,1,0,1,1
"51",1,1,0,1,1,0
"53",1,1,0,1,0,0
"81",0,0,0,1,0,0
"83",0,0,0,1,1,0
