"","Berberis_nervosa","Polystichum_munitum","Chrysolepis_chrysophylla","Whipplea_modesta","Linnaea_borealis_var_longiflora","Gaultheria_shallon"
"12",0,0,0,0,0,0
"157",0,0,0,0,0,0
"160",0,0,0,0,0,0
"163",0,0,0,0,0,0
"164",0,0,0,0,0,0
"185",0,0,0,0,0,0
"187",0,0,0,0,0,0
"188",0,0,0,0,0,0
"190",0,0,0,0,0,0
"191",0,0,0,0,0,0
"192",0,0,0,0,0,0
"193",0,0,0,0,0,0
"224",0,0,0,0,0,0
"225",0,0,0,0,0,0
"227",0,0,0,0,0,0
"230",0,0,0,0,0,0
"248",0,0,0,0,0,0
"29",0,0,0,0,0,0
"30",0,0,0,0,0,0
"306",0,0,0,0,0,0
"308",0,0,0,0,0,0
"31",0,0,0,0,0,0
"35",0,0,0,0,0,0
"39",0,0,0,0,0,0
"407",0,0,0,0,0,0
"409",0,0,0,0,0,0
"411",0,0,0,0,0,0
"412",0,0,0,0,0,0
"43",0,0,0,0,0,0
"45",0,0,0,0,0,0
"49",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"53",0,0,0,0,0,0
"81",0,0,0,0,0,0
"83",0,0,0,0,0,0
