"","Berberis_nervosa","Polystichum_munitum","Chrysolepis_chrysophylla","Whipplea_modesta","Linnaea_borealis_var_longiflora","Gaultheria_shallon"
"12",1,1,1,1,1,1
"157",1,1,1,1,1,1
"160",1,1,1,1,1,1
"163",1,1,1,1,1,1
"164",1,1,1,1,1,1
"185",1,1,1,1,1,1
"187",1,1,1,1,1,1
"188",1,1,1,1,1,1
"190",1,1,1,1,1,1
"191",1,1,1,1,1,1
"192",1,1,1,1,1,1
"193",1,1,1,1,1,1
"224",1,1,1,1,1,1
"225",1,1,1,1,1,1
"227",1,1,1,1,1,1
"230",1,1,1,1,1,1
"248",1,1,1,1,1,1
"29",1,1,1,1,1,1
"30",1,1,1,1,1,1
"306",1,1,1,1,1,1
"308",1,1,1,1,1,1
"31",1,1,1,1,1,1
"35",1,1,1,1,1,1
"39",1,1,1,1,1,1
"407",1,1,1,1,1,1
"409",1,1,1,1,1,1
"411",1,1,1,1,1,1
"412",1,1,1,1,1,1
"43",1,1,1,1,1,1
"45",1,1,1,1,1,1
"49",1,1,1,1,1,1
"50",1,1,1,1,1,1
"51",1,1,1,1,1,1
"53",1,1,1,1,1,1
"81",1,1,1,1,1,1
"83",1,1,1,1,1,1
