"engine","ui_upload_slot","file_to_upload","required_for_default","note"
"Hmsc","Y.csv - response matrix","01_Hmsc/Y.csv",TRUE,"Use Y occurrence for probit."
"Hmsc","XData.csv - environmental predictors","01_Hmsc/XData.csv",TRUE,"Predictors are standardized and include substrate factor."
"Hmsc","TrData.csv - traits / response attributes","01_Hmsc/TrData.csv",FALSE,"Enable Use TrData / traits before using this file."
"Hmsc","studyDesign.csv - grouping / random-effect design","01_Hmsc/studyDesign.csv",FALSE,"Use random effect mode = sample and grouping column = plot."
"Hmsc","coordinates.csv - spatial coordinates","01_Hmsc/coordinates.csv",FALSE,"Use only for spatial random effect modes."
"Hmsc","phylogeny / taxonomy file","01_Hmsc/phylogeny.nwk",FALSE,"Use only if phylogeny is enabled."
"Hmsc-HPC","Y.csv","02_Hmsc-HPC/Y.csv",TRUE,"Use occurrence/probit-compatible Y."
"Hmsc-HPC","XData.csv","02_Hmsc-HPC/XData.csv",TRUE,"Predictors for Hmsc-HPC."
"Hmsc-HPC","traits.csv","02_Hmsc-HPC/traits.csv",FALSE,"Optional traits."
"Hmsc-HPC","studyDesign.csv","02_Hmsc-HPC/studyDesign.csv",FALSE,"Optional random-effect design."
"Hmsc-HPC","coordinates.csv","02_Hmsc-HPC/coordinates.csv",FALSE,"Optional spatial input."
"Hmsc-HPC","phylo_cov.csv","02_Hmsc-HPC/phylo_cov.csv",FALSE,"Optional phylogenetic covariance."
"Hmsc-HPC","newdata.csv","02_Hmsc-HPC/newdata.csv",FALSE,"Optional prediction data."
"jSDM","Y.csv","03_jSDM/Y.csv",TRUE,"Default binomial_probit uses Y/X; traits optional."
"jSDM","XData.csv","03_jSDM/XData.csv",TRUE,"Site predictors."
"jSDM","trait_data.csv","03_jSDM/trait_data.csv",FALSE,"Enable traits if used."
"jSDM","long_format.csv","03_jSDM/long_format.csv",FALSE,"Only for long-format branch."
"jSDM","trials.csv","03_jSDM/trials.csv",FALSE,"Only for binomial_logit branch."
"jSDM","newdata.csv","03_jSDM/newdata.csv",FALSE,"Optional prediction data."
"jSDM","prediction_ids.csv","03_jSDM/prediction_ids.csv",FALSE,"Optional prediction ID filter."
"GJAM","Y.csv","04_GJAM/Y.csv",TRUE,"Use PA typeNames."
"GJAM","XData.csv","04_GJAM/XData.csv",TRUE,"Predictors."
"GJAM","typeNames.csv","04_GJAM/typeNames.csv",TRUE,"Upload for response types."
"GJAM","specByTrait.csv","04_GJAM/specByTrait.csv",FALSE,"Optional trait conversion."
"GJAM","traitTypes.csv","04_GJAM/traitTypes.csv",FALSE,"Optional trait types."
"GJAM","effort.csv","04_GJAM/effort.csv",FALSE,"Optional effort/offset information."
"GJAM","newdata.csv","04_GJAM/newdata.csv",FALSE,"Optional prediction data."
"GJAM","holdoutIndex.csv","04_GJAM/holdoutIndex.csv",FALSE,"Optional holdout rows."
"GJAM","censor.csv","04_GJAM/censor.csv",FALSE,"Leave unused unless censoring is enabled."
"spOccupancy","y.csv","05_spOccupancy/y.csv",TRUE,"Replicated detection/non-detection matrix."
"spOccupancy","occ.covs.csv","05_spOccupancy/occ.covs.csv",TRUE,"Occurrence covariates."
"spOccupancy","det.covs.csv","05_spOccupancy/det.covs.csv",TRUE,"Detection covariates."
"spOccupancy","coords.csv","05_spOccupancy/coords.csv",FALSE,"Coordinates."
"spOccupancy","species.csv","05_spOccupancy/species.csv",FALSE,"Species metadata."
"spOccupancy","integrated_sources.csv","05_spOccupancy/integrated_sources.csv",FALSE,"Optional integrated model metadata."
"spOccupancy","newdata.csv","05_spOccupancy/newdata.csv",FALSE,"Optional prediction covariates."
"spOccupancy","newcoords.csv","05_spOccupancy/newcoords.csv",FALSE,"Optional prediction coordinates."
"spOccupancy","folds.csv","05_spOccupancy/folds.csv",FALSE,"Optional folds."
"sjSDM","Y.csv","06_sjSDM/Y.csv",TRUE,"Occurrence response."
"sjSDM","env.csv","06_sjSDM/env.csv",TRUE,"Environmental module."
"sjSDM","spatial.csv","06_sjSDM/spatial.csv",FALSE,"Spatial module uses coordinates as simple spatial predictors."
"sjSDM","traits.csv","06_sjSDM/traits.csv",FALSE,"Species traits metadata."
"sjSDM","newdata.csv","06_sjSDM/newdata.csv",FALSE,"Optional prediction data."
"boral","Y.csv","07_boral/Y.csv",TRUE,"Occurrence/binomial response."
"boral","XData.csv","07_boral/XData.csv",TRUE,"Predictors."
"boral","traits.csv","07_boral/traits.csv",FALSE,"Optional traits."
"boral","row.ids.csv","07_boral/row.ids.csv",FALSE,"Optional row IDs."
"boral","ranef.ids.csv","07_boral/ranef.ids.csv",FALSE,"Optional random-effect IDs."
"boral","distmat.csv","07_boral/distmat.csv",FALSE,"Optional distance matrix."
"boral","offset.csv","07_boral/offset.csv",FALSE,"Optional offset."
"boral","newdata.csv","07_boral/newdata.csv",FALSE,"Optional prediction data."
"boral","trial.size.csv","07_boral/trial.size.csv",FALSE,"Binomial trial size matrix."
