"","Fomitopsis_pinicola","Capronia_kleinmondensis","Phellopilus_nigrolimitatus","Antrodia_serialis","Heterobasidion_parviporum","Heterobasidion_abietinum"
"R001",4.34381,0,3.3322,3.52636,0,0
"R002",0,1.38629,5.69036,0,0,0
"R003",0,0.69315,4.46591,0,0,0
"R004",0,0,0,0,1.94591,2.63906
"R005",5.22575,1.94591,0,0,0.69315,0
"R006",7.36074,0,1.79176,0,0.69315,1.09861
"R007",1.09861,2.19722,0.69315,1.60944,0,0
"R008",0,0,0.69315,6.44889,0,0
"R009",7.15149,0,0,0,0,0
"R010",3.63759,1.94591,0,0,1.09861,1.60944
"R011",7.11802,0.69315,0,0,1.09861,0.69315
"R012",0,0,0,0,1.79176,3.09104
"R013",0,0,0,0,1.94591,2.56495
"R014",0,3.78419,7.18841,0,0,0
"R015",0,0,0,0,0,0
"R016",4.62497,0.69315,0,3.04452,0,0
"R017",7.35692,0,0,0,1.79176,2.07944
"R018",0,0.69315,4.86753,0,0,0
"R019",5.81413,0,0,0,3.17805,3.78419
"R020",0.69315,0.69315,0,0,2.19722,2.07944
"R021",0,0,6.78559,4.51086,0,0
"R022",0,0,1.79176,0.69315,2.3979,2.94444
"R023",0,1.60944,0,0,1.38629,0.69315
"R024",5.94542,1.79176,0,0,2.30259,1.38629
"R025",5.26269,1.79176,0,5.24702,0,0
"R026",3.97029,0.69315,0,0,3.49651,3.49651
"R027",0,0.69315,0,6.20051,0,1.09861
"R028",4.43082,0,0,0,1.79176,1.38629
"R029",5.0626,0.69315,0,2.83321,2.30259,2.48491
"R031",0,0,0,4.36945,2.56495,3.13549
"R032",7.19143,0,0,0,0,0
"R033",5.32788,0.69315,3.58352,6.23441,0,0
"R034",2.56495,0,1.38629,2.3979,0,0
"R035",5.743,1.60944,2.89037,6.53959,0,0
"R036",0,1.38629,6.76273,0,0,0
"R037",6.11147,3.2581,0,0,0,0
