"","obs_rep1","obs_rep2","obs_rep3"
"R001",0,0,0
"R002",0.0285714285714286,0.0285714285714286,0.0285714285714286
"R003",0.0571428571428571,0.0571428571428571,0.0571428571428571
"R004",0.0857142857142857,0.0857142857142857,0.0857142857142857
"R005",0.114285714285714,0.114285714285714,0.114285714285714
"R006",0.142857142857143,0.142857142857143,0.142857142857143
"R007",0.171428571428571,0.171428571428571,0.171428571428571
"R008",0.2,0.2,0.2
"R009",0.228571428571429,0.228571428571429,0.228571428571429
"R010",0.257142857142857,0.257142857142857,0.257142857142857
"R011",0.285714285714286,0.285714285714286,0.285714285714286
"R012",0.314285714285714,0.314285714285714,0.314285714285714
"R013",0.342857142857143,0.342857142857143,0.342857142857143
"R014",0.371428571428571,0.371428571428571,0.371428571428571
"R015",0.4,0.4,0.4
"R016",0.428571428571429,0.428571428571429,0.428571428571429
"R017",0.457142857142857,0.457142857142857,0.457142857142857
"R018",0.485714285714286,0.485714285714286,0.485714285714286
"R019",0.514285714285714,0.514285714285714,0.514285714285714
"R020",0.542857142857143,0.542857142857143,0.542857142857143
"R021",0.571428571428571,0.571428571428571,0.571428571428571
"R022",0.6,0.6,0.6
"R023",0.628571428571429,0.628571428571429,0.628571428571429
"R024",0.657142857142857,0.657142857142857,0.657142857142857
"R025",0.685714285714286,0.685714285714286,0.685714285714286
"R026",0.714285714285714,0.714285714285714,0.714285714285714
"R027",0.742857142857143,0.742857142857143,0.742857142857143
"R028",0.771428571428571,0.771428571428571,0.771428571428571
"R029",0.8,0.8,0.8
"R031",0.828571428571429,0.828571428571429,0.828571428571429
"R032",0.857142857142857,0.857142857142857,0.857142857142857
"R033",0.885714285714286,0.885714285714286,0.885714285714286
"R034",0.914285714285714,0.914285714285714,0.914285714285714
"R035",0.942857142857143,0.942857142857143,0.942857142857143
"R036",0.971428571428571,0.971428571428571,0.971428571428571
"R037",1,1,1
