"","R001","R002","R003","R004","R005","R006","R007","R008","R009","R010","R011","R012","R013","R014","R015","R016","R017","R018","R019","R020","R021","R022","R023","R024","R025","R026","R027","R028","R029","R031","R032","R033","R034","R035","R036","R037"
"R001",0,1.00042407823793,2.27276903977601,3.30264744875779,4.10317046700182,5.21996183761351,6.00000204150559,7.00583735337669,8.00005871044528,9.03622426242149,10.0862969187443,11.4662339094848,12.4000529218468,13.2144528707635,14.4209291250652,15.2141816692844,16.2439931920034,17.0269783679876,18.1605505230844,19.1324633987778,20.0815823320486,21.0091511739169,22.1264822127436,23.1525860061034,24.1135278747261,25.0171275940179,26.091048783139,27.0597639158843,28.0777550584215,29.0169227904186,30.0757913140322,31.0201613770094,32.0579736275082,33.1011652662064,34.0914879736181,35.0990822926794
"R002",1.00042407823793,0,1.49305566730356,2.44719877416814,3.14485586810303,4.28207773755493,5.00011611443615,6.00826610449877,7.00000016566743,8.04371075406713,9.10005098382974,10.5196909971029,11.4430834759223,12.2376767008303,13.4597744340085,14.2344778396886,15.2653710679431,16.0304289851339,17.1740153054949,18.1433989392558,19.0886389027702,20.0105322128667,21.1357441896402,22.1629797824082,23.1214017528973,24.0189807834906,25.0972217040146,26.0640821302261,27.0828878941439,28.0185719960736,29.0805497227707,30.0219319683798,31.0616609193138,32.1066757580518,33.096461944418,34.1042511613257
"R003",2.27276903977601,1.49305566730356,0,1.04447477867982,2.00681436554082,3.02922408756243,4.14183736930203,5.06259490708804,6.10185172795251,7.00525440960227,8.00351001243748,9.25483964751372,10.2069068137596,11.0755518854981,12.2335869296304,13.0822090025388,14.1059086732761,15.0004916977071,16.0551752367833,17.0400704189061,18.0147451335654,19.0055566447499,20.0411026745492,21.0589159801528,22.0359133012986,23.0005156078752,24.0251141145508,25.0103047808916,26.0195543092558,27.0001457344076,28.0198403456714,29.0000257483313,30.0119689935657,31.0365779781643,32.0313284246901,33.0366575227785
"R004",3.30264744875779,2.44719877416814,1.04447477867982,0,1.1035779975032,2.00349083691497,3.30058068536491,4.14721923060638,5.19548646276507,6.02728111472905,7.00029747284793,8.2123209360202,9.16726385540432,10.048876696034,11.1944947284578,12.056202571006,13.0777324648809,14.0063887544237,15.0352098105285,16.0234385589237,17.0053664049913,18.0160832679056,19.0253261741916,20.040447259522,21.0217502612489,22.0047159736887,23.0137939319721,24.0036108450991,25.0099956762243,26.0029286341222,27.0104901188835,28.0012341699201,29.0051389811027,30.0241840551529,31.0200380430907,32.0245740940099
"R005",4.10317046700182,3.14485586810303,2.00681436554082,1.1035779975032,0,1.15854386466442,2.19703920862477,3.06510849742119,4.11010880850344,5.00112420824923,6.01346839306276,7.37510380277528,8.29963798099045,9.1171239915268,10.3186350755736,11.1200457273508,12.1480095787978,13.0000737337447,14.0796115165903,15.0591258102054,16.0249547285663,17.0025473740666,18.0581578703651,19.0794514385165,20.0505455526291,21.0000030035848,22.0362508752242,23.0169479093686,24.0286874219454,25.0001171294982,26.0285836090976,27.0007697756859,28.0183095834324,29.0481376474403,30.0416605960209,31.0477410714706
"R006",5.21996183761351,4.28207773755493,3.02922408756243,2.00349083691497,1.15854386466442,0,1.79810567596499,2.33930418873712,3.36761749210166,4.059252094619,5.00333874068229,6.2464010014437,7.18613579497398,8.04735034538748,9.21083335690562,10.0544058149268,11.0772033422862,12.0121985157886,13.0318213156248,14.019975724718,15.0031816684864,16.0241436872737,17.0218972562798,18.0369790037707,19.0184626222706,20.0082285321828,21.0109571602342,22.0020197429565,23.007535569295,24.0053857105748,25.0080503711326,26.002793101218,27.0033882101148,28.0210766544867,29.0171183702819,30.021504826731
"R007",6.00000204150559,5.00011611443615,4.14183736930203,3.30058068536491,2.19703920862477,1.79810567596499,0,1.03872568591059,2.00031679186908,3.10569991658327,4.20955782205309,5.95336096177846,6.76242627241777,7.38906747397299,8.71372379909291,9.35126548822286,10.3845834573565,11.0412196934696,12.2385361910835,13.1920025843679,14.1156676393526,15.0126053647416,16.1727503342249,17.2051153381134,18.1504577204439,19.0222904844495,20.1176860697115,21.0763624599652,22.0984090581202,23.0211212601021,24.094234262006,25.0247750638139,26.0709535909297,27.1230818285596,28.1105828738266,29.1190575693116
"R008",7.00583735337669,6.00826610449877,5.06259490708804,4.14721923060638,3.06510849742119,2.33930418873712,1.03872568591059,0,1.04891540669624,2.06709179903163,3.17210303683556,4.97046040613291,5.74946867687867,6.35197748388383,7.68550583985122,8.31254043269172,9.34585825746445,10.0225663278038,11.2031003750368,12.1592623896446,13.0888351218419,14.0039858375168,15.1430501314122,16.1742520290675,17.1233015997726,18.0113612002716,19.0939565585495,20.0570357812738,21.0771903872273,22.0112908988147,23.0741136612751,24.0144269243743,25.0538100440367,26.1015341995326,27.0902932914263,28.0984024222419
"R009",8.00005871044528,7.00000016566743,6.10185172795251,5.19548646276507,4.11010880850344,3.36761749210166,2.00031679186908,1.04891540669624,0,1.30531058106286,2.41143714170187,4.43552110813806,5.09448395224969,5.5468949805965,6.94090439993638,7.45843138678656,8.48764915509458,9.0541516883857,10.2934071974234,11.2334260867797,12.1400878932913,13.016273621982,14.2030619673722,15.2383019652331,16.1742520290675,17.0268713530881,18.1349734385975,19.0877432698841,20.1119185544836,21.0248302200001,22.1062199978784,23.0286755178187,24.0797163558996,25.1365589482579,26.1224709111227,27.1313115340693
"R010",9.03622426242149,8.04371075406713,7.00525440960227,6.02728111472905,5.00112420824923,4.059252094619,3.10569991658327,2.06709179903163,1.30531058106286,0,1.12176180937114,3.14576634641891,3.78997385911217,4.29442810426032,5.6590699811173,6.24597764858437,7.27916927184854,8.00140273814503,9.14132256746542,10.1030308423346,11.0453610171873,12.0014768616595,13.0925708643539,14.1211041040445,15.0777104950071,16.0004297251901,17.0550736982688,18.0271577309989,19.043056232115,20.0008332078924,21.0417923474547,22.0021828293183,23.0271945624218,24.0657441730357,25.0568956110308,26.064122159393
