"","x","y"
"R001",1,1.19169998096326
"R002",2,1.16257376737103
"R003",3,2.27127355796688
"R004",4,2.57281553398058
"R005",5,2.10603464686846
"R006",6,2.69103369503141
"R007",7,1.19664953359985
"R008",8,1.4776318294308
"R009",9,1.16105082809823
"R010",10,2
"R011",11,2.50828098229583
"R012",12,4.42813630306492
"R013",13,4.31600989910527
"R014",14,3.56272606129831
"R015",15,4.6504854368932
"R016",16,3.73557966876071
"R017",17,3.99657338663621
"R018",18,2.14981915096136
"R019",19,3.60118027793642
"R020",20,3.43917761279269
"R021",21,3
"R022",22,1.81172663240053
"R023",23,3.55415952788883
"R024",24,3.84542166381116
"R025",25,3.52884066247858
"R026",26,2.11726632400533
"R027",27,3.36950314106225
"R028",28,2.98914905768132
"R029",29,3.27984009137636
"R031",30,2.18256234532648
"R032",31,3.32552826956025
"R033",32,2.30991814201409
"R034",33,3.11878926327813
"R035",34,3.77765086617171
"R036",35,3.68760708166762
"R037",36,3.8271463925376
