"site","species","presence","pH","moisture","canopy","elevation","substrate"
"R001","Fomitopsis_pinicola",1,-1.6289810949281,-0.958537759517011,-0.27537502051578,-1.66102649256687,"decay_1"
"R001","Antrodia_serialis",1,-1.6289810949281,-0.958537759517011,-0.27537502051578,-1.66102649256687,"decay_1"
"R001","Heterobasidion_abietinum",0,-1.6289810949281,-0.958537759517011,-0.27537502051578,-1.66102649256687,"decay_1"
"R001","Phellopilus_nigrolimitatus",1,-1.6289810949281,-0.958537759517011,-0.27537502051578,-1.66102649256687,"decay_1"
"R001","Heterobasidion_parviporum",0,-1.6289810949281,-0.958537759517011,-0.27537502051578,-1.66102649256687,"decay_1"
"R001","Capronia_kleinmondensis",0,-1.6289810949281,-0.958537759517011,-0.27537502051578,-1.66102649256687,"decay_1"
"R002","Fomitopsis_pinicola",0,-1.63063933486591,-1.12214899080001,-0.106418549249906,-1.56611069299162,"decay_1"
"R002","Heterobasidion_abietinum",0,-1.63063933486591,-1.12214899080001,-0.106418549249906,-1.56611069299162,"decay_1"
"R002","Heterobasidion_parviporum",0,-1.63063933486591,-1.12214899080001,-0.106418549249906,-1.56611069299162,"decay_1"
"R002","Antrodia_serialis",0,-1.63063933486591,-1.12214899080001,-0.106418549249906,-1.56611069299162,"decay_1"
"R002","Phellopilus_nigrolimitatus",1,-1.63063933486591,-1.12214899080001,-0.106418549249906,-1.56611069299162,"decay_1"
"R002","Capronia_kleinmondensis",1,-1.63063933486591,-1.12214899080001,-0.106418549249906,-1.56611069299162,"decay_1"
"R003","Heterobasidion_abietinum",0,-0.485792649435475,-0.563550868681089,0.715749413823738,-1.47119489341637,"decay_2"
"R003","Heterobasidion_parviporum",0,-0.485792649435475,-0.563550868681089,0.715749413823738,-1.47119489341637,"decay_2"
"R003","Phellopilus_nigrolimitatus",1,-0.485792649435475,-0.563550868681089,0.715749413823738,-1.47119489341637,"decay_2"
"R003","Fomitopsis_pinicola",0,-0.485792649435475,-0.563550868681089,0.715749413823738,-1.47119489341637,"decay_2"
"R003","Capronia_kleinmondensis",1,-0.485792649435475,-0.563550868681089,0.715749413823738,-1.47119489341637,"decay_2"
"R003","Antrodia_serialis",0,-0.485792649435475,-0.563550868681089,0.715749413823738,-1.47119489341637,"decay_2"
"R004","Heterobasidion_parviporum",1,-0.468624988902848,0.511653751370934,1.14843018715217,-1.37627909384112,"decay_2"
"R004","Phellopilus_nigrolimitatus",0,-0.468624988902848,0.511653751370934,1.14843018715217,-1.37627909384112,"decay_2"
"R004","Heterobasidion_abietinum",1,-0.468624988902848,0.511653751370934,1.14843018715217,-1.37627909384112,"decay_2"
"R004","Antrodia_serialis",0,-0.468624988902848,0.511653751370934,1.14843018715217,-1.37627909384112,"decay_2"
"R004","Capronia_kleinmondensis",0,-0.468624988902848,0.511653751370934,1.14843018715217,-1.37627909384112,"decay_2"
"R004","Fomitopsis_pinicola",0,-0.468624988902848,0.511653751370934,1.14843018715217,-1.37627909384112,"decay_2"
"R005","Capronia_kleinmondensis",1,-0.495200180585928,-1.47781757684846,0.361360548727761,-1.28136329426587,"decay_2"
"R005","Fomitopsis_pinicola",1,-0.495200180585928,-1.47781757684846,0.361360548727761,-1.28136329426587,"decay_2"
"R005","Heterobasidion_abietinum",0,-0.495200180585928,-1.47781757684846,0.361360548727761,-1.28136329426587,"decay_2"
"R005","Heterobasidion_parviporum",1,-0.495200180585928,-1.47781757684846,0.361360548727761,-1.28136329426587,"decay_2"
"R005","Antrodia_serialis",0,-0.495200180585928,-1.47781757684846,0.361360548727761,-1.28136329426587,"decay_2"
"R005","Phellopilus_nigrolimitatus",0,-0.495200180585928,-1.47781757684846,0.361360548727761,-1.28136329426587,"decay_2"
"R006","Heterobasidion_abietinum",1,-0.461894485625853,0.825056189165643,-1.33141932819645,-1.18644749469062,"decay_2"
