"","Fomitopsis_pinicola","Capronia_kleinmondensis","Phellopilus_nigrolimitatus","Antrodia_serialis","Heterobasidion_parviporum","Heterobasidion_abietinum"
"R001",1,1,1,1,1,1
"R002",1,1,1,1,1,1
"R003",1,1,1,1,1,1
"R004",1,1,1,1,1,1
"R005",1,1,1,1,1,1
"R006",1,1,1,1,1,1
"R007",1,1,1,1,1,1
"R008",1,1,1,1,1,1
"R009",1,1,1,1,1,1
"R010",1,1,1,1,1,1
"R011",1,1,1,1,1,1
"R012",1,1,1,1,1,1
"R013",1,1,1,1,1,1
"R014",1,1,1,1,1,1
"R015",1,1,1,1,1,1
"R016",1,1,1,1,1,1
"R017",1,1,1,1,1,1
"R018",1,1,1,1,1,1
"R019",1,1,1,1,1,1
"R020",1,1,1,1,1,1
"R021",1,1,1,1,1,1
"R022",1,1,1,1,1,1
"R023",1,1,1,1,1,1
"R024",1,1,1,1,1,1
"R025",1,1,1,1,1,1
"R026",1,1,1,1,1,1
"R027",1,1,1,1,1,1
"R028",1,1,1,1,1,1
"R029",1,1,1,1,1,1
"R031",1,1,1,1,1,1
"R032",1,1,1,1,1,1
"R033",1,1,1,1,1,1
"R034",1,1,1,1,1,1
"R035",1,1,1,1,1,1
"R036",1,1,1,1,1,1
"R037",1,1,1,1,1,1
