"","Fomitopsis_pinicola_rep1","Fomitopsis_pinicola_rep2","Fomitopsis_pinicola_rep3","Capronia_kleinmondensis_rep1","Capronia_kleinmondensis_rep2","Capronia_kleinmondensis_rep3","Phellopilus_nigrolimitatus_rep1","Phellopilus_nigrolimitatus_rep2","Phellopilus_nigrolimitatus_rep3","Antrodia_serialis_rep1","Antrodia_serialis_rep2","Antrodia_serialis_rep3","Heterobasidion_parviporum_rep1","Heterobasidion_parviporum_rep2","Heterobasidion_parviporum_rep3","Heterobasidion_abietinum_rep1","Heterobasidion_abietinum_rep2","Heterobasidion_abietinum_rep3"
"R001",1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
"R002",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"R003",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"R004",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
"R005",0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"R006",1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
"R007",1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
"R008",0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"R009",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R010",1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"R011",0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
"R012",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"R013",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
"R014",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"R015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R016",1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"R017",0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"R018",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"R019",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
"R020",0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
"R021",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"R022",0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
"R023",0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
"R024",1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
"R025",1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"R026",0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
"R027",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"R028",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
"R029",0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1
"R031",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0
"R032",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R033",0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
"R034",1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"R035",1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
"R036",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"R037",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
