"","Fomitopsis_pinicola","Capronia_kleinmondensis","Phellopilus_nigrolimitatus","Antrodia_serialis","Heterobasidion_parviporum","Heterobasidion_abietinum"
"R001",1,0,1,1,0,0
"R002",0,1,1,0,0,0
"R003",0,1,1,0,0,0
"R004",0,0,0,0,1,1
"R005",1,1,0,0,1,0
"R006",1,0,1,0,1,1
"R007",1,1,1,1,0,0
"R008",0,0,1,1,0,0
"R009",1,0,0,0,0,0
"R010",1,1,0,0,1,1
"R011",1,1,0,0,1,1
"R012",0,0,0,0,1,1
"R013",0,0,0,0,1,1
"R014",0,1,1,0,0,0
"R015",0,0,0,0,0,0
"R016",1,1,0,1,0,0
"R017",1,0,0,0,1,1
"R018",0,1,1,0,0,0
"R019",1,0,0,0,1,1
"R020",1,1,0,0,1,1
"R021",0,0,1,1,0,0
"R022",0,0,1,1,1,1
"R023",0,1,0,0,1,1
"R024",1,1,0,0,1,1
"R025",1,1,0,1,0,0
"R026",1,1,0,0,1,1
"R027",0,1,0,1,0,1
"R028",1,0,0,0,1,1
"R029",1,1,0,1,1,1
"R031",0,0,0,1,1,1
"R032",1,0,0,0,0,0
"R033",1,1,1,1,0,0
"R034",1,0,1,1,0,0
"R035",1,1,1,1,0,0
"R036",0,1,1,0,0,0
"R037",1,1,0,0,0,0
