"","Fomitopsis_pinicola","Capronia_kleinmondensis","Phellopilus_nigrolimitatus","Antrodia_serialis","Heterobasidion_parviporum","Heterobasidion_abietinum"
"R001",0,0,0,0,0,0
"R002",0,0,0,0,0,0
"R003",0,0,0,0,0,0
"R004",0,0,0,0,0,0
"R005",0,0,0,0,0,0
"R006",0,0,0,0,0,0
"R007",0,0,0,0,0,0
"R008",0,0,0,0,0,0
"R009",0,0,0,0,0,0
"R010",0,0,0,0,0,0
"R011",0,0,0,0,0,0
"R012",0,0,0,0,0,0
"R013",0,0,0,0,0,0
"R014",0,0,0,0,0,0
"R015",0,0,0,0,0,0
"R016",0,0,0,0,0,0
"R017",0,0,0,0,0,0
"R018",0,0,0,0,0,0
"R019",0,0,0,0,0,0
"R020",0,0,0,0,0,0
"R021",0,0,0,0,0,0
"R022",0,0,0,0,0,0
"R023",0,0,0,0,0,0
"R024",0,0,0,0,0,0
"R025",0,0,0,0,0,0
"R026",0,0,0,0,0,0
"R027",0,0,0,0,0,0
"R028",0,0,0,0,0,0
"R029",0,0,0,0,0,0
"R031",0,0,0,0,0,0
"R032",0,0,0,0,0,0
"R033",0,0,0,0,0,0
"R034",0,0,0,0,0,0
"R035",0,0,0,0,0,0
"R036",0,0,0,0,0,0
"R037",0,0,0,0,0,0
