"","Phylloscopus_collybita","Tetrao_tetrix","Tringa_ochropus","Turdus_viscivorus","Sylvia_communis","Phylloscopus_sibilatrix"
"14",0.69315,2.07944,1.09861,1.38629,1.94591,1.38629
"15",0,0.69315,0.69315,0.69315,2.77259,2.19722
"26",1.38629,0.69315,0,1.38629,0.69315,1.79176
"32",0,0,1.09861,0,2.48491,1.60944
"34",0,0,0,0,2.63906,2.07944
"39",0.69315,0,0.69315,1.09861,1.60944,0
"47",1.09861,1.09861,1.09861,0.69315,1.09861,0
"50",0,0.69315,0,0,2.19722,1.09861
"51",1.38629,2.3979,0,2.19722,1.38629,1.79176
"59",2.19722,0,0,1.79176,2.19722,1.94591
"69",1.60944,2.19722,0.69315,0.69315,1.94591,1.09861
"83",1.94591,0,0.69315,0,0.69315,0
"84",0.69315,0,0.69315,0,2.3979,3.3322
"85",0.69315,0,1.94591,1.09861,0.69315,1.38629
"95",2.07944,1.38629,0.69315,0.69315,0,0.69315
"105",0,0.69315,0,1.09861,1.38629,1.94591
"119",2.19722,1.60944,1.79176,0,1.79176,1.60944
"121",1.94591,1.09861,1.09861,1.09861,0.69315,0.69315
"169",1.79176,1.09861,0.69315,1.60944,0,1.38629
"260",1.94591,0,1.60944,0,0,0.69315
"262",1.94591,0.69315,1.09861,0.69315,1.09861,1.79176
"304",1.60944,1.09861,1.09861,0,0,1.38629
"319",1.38629,1.38629,0,0.69315,0,0
"382",0,2.19722,1.09861,0,0,0.69315
"384",0,0,0.69315,0,0,0
"395",1.09861,1.94591,1.09861,0,0,0
"429",0,1.38629,0,0.69315,0,0
"450",0,0.69315,0.69315,0.69315,0,0
"467",0,0.69315,0,0.69315,0,0
"485",0,0,0.69315,0,0,0
"503",0,0,0,1.09861,0,0
"518",0,1.09861,0,0,0,0
"530",0,0,0,0,0,0
"578",0,0,0,1.09861,0,0
"591",0,0,0,0,0,0
"593",0,0,0,0,0,0
