"","Phylloscopus_collybita","Tetrao_tetrix","Tringa_ochropus","Turdus_viscivorus","Sylvia_communis","Phylloscopus_sibilatrix"
"14",0,0,0,0,0,0
"15",0,0,0,0,0,0
"26",0,0,0,0,0,0
"32",0,0,0,0,0,0
"34",0,0,0,0,0,0
"39",0,0,0,0,0,0
"47",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"59",0,0,0,0,0,0
"69",0,0,0,0,0,0
"83",0,0,0,0,0,0
"84",0,0,0,0,0,0
"85",0,0,0,0,0,0
"95",0,0,0,0,0,0
"105",0,0,0,0,0,0
"119",0,0,0,0,0,0
"121",0,0,0,0,0,0
"169",0,0,0,0,0,0
"260",0,0,0,0,0,0
"262",0,0,0,0,0,0
"304",0,0,0,0,0,0
"319",0,0,0,0,0,0
"382",0,0,0,0,0,0
"384",0,0,0,0,0,0
"395",0,0,0,0,0,0
"429",0,0,0,0,0,0
"450",0,0,0,0,0,0
"467",0,0,0,0,0,0
"485",0,0,0,0,0,0
"503",0,0,0,0,0,0
"518",0,0,0,0,0,0
"530",0,0,0,0,0,0
"578",0,0,0,0,0,0
"591",0,0,0,0,0,0
"593",0,0,0,0,0,0
