"","x","y"
"14",5052.3,4171.7
"15",5077.6,4178
"26",5024.1,4189.4
"32",5168.2,4226.3
"34",5177.6,4237.3
"39",4871.2,4177.8
"47",5064.8,4224.4
"50",5137.5,4244.4
"51",5161.9,4250.5
"59",4962.7,4219.4
"69",5202.5,4284.7
"83",5149.3,4299
"84",5175,4303.3
"85",5199.2,4309.3
"95",5021.3,4290.8
"105",5263.8,4350.7
"119",5185.9,4356.6
"121",5233,4369.4
"169",5044,4401.1
"260",5261.9,4557.9
"262",5310.4,4570.2
"304",5224.6,4601.3
"319",5144.9,4605.2
"382",5015.8,4703.4
"384",5063.6,4714.4
"395",5058.8,4740.1
"429",5135.4,4836.6
"450",5049.8,4864.5
"467",5164.8,4919
"485",5078.1,4950.8
"503",5016.2,4986.5
"518",5131.3,5040.7
"530",5148.9,5071.3
"578",4993.7,5160.6
"591",4955.9,5202.2
"593",5004.5,5212.6
