"","sample","plot"
"14",14,"route_14"
"15",15,"route_15"
"26",26,"route_26"
"32",32,"route_32"
"34",34,"route_34"
"39",39,"route_39"
"47",47,"route_47"
"50",50,"route_50"
"51",51,"route_51"
"59",59,"route_59"
"69",69,"route_69"
"83",83,"route_83"
"84",84,"route_84"
"85",85,"route_85"
"95",95,"route_95"
"105",105,"route_105"
"119",119,"route_119"
"121",121,"route_121"
"169",169,"route_169"
"260",260,"route_260"
"262",262,"route_262"
"304",304,"route_304"
"319",319,"route_319"
"382",382,"route_382"
"384",384,"route_384"
"395",395,"route_395"
"429",429,"route_429"
"450",450,"route_450"
"467",467,"route_467"
"485",485,"route_485"
"503",503,"route_503"
"518",518,"route_518"
"530",530,"route_530"
"578",578,"route_578"
"591",591,"route_591"
"593",593,"route_593"
