"","pH","moisture","canopy","elevation","substrate"
"14",0.779236372462245,0.632458991385292,1.24702331382037,0.824063129065335,"Co"
"15",0.763352043027521,0.598606199210925,1.19737344066538,-0.373767529602986,"Urb"
"26",0.808802404316744,0.774352609648064,1.12789895623641,0.824063129065335,"Co"
"32",0.710044233444589,0.969546368781116,0.963117918142678,-0.373767529602986,"Co"
"34",0.918870217746423,1.17266312182732,0.837668060704815,-0.373767529602986,"Urb"
"39",0.336042402127541,-0.720212151241543,1.78106159003395,-0.373767529602986,"Op"
"47",0.710891397681107,0.460313941817766,0.691156762412595,1.50283383564405,"Co"
"50",0.941171816272774,0.930651671389289,0.63037542303425,1.22334001528811,"Urb"
"51",1.03414809123069,1.17914557139262,0.671685531018718,0.0255093566197875,"Br"
"59",0.699285247640802,0.264399910510789,1.25614051472712,-0.373767529602986,"Co"
"69",0.982471072803056,1.16041849487063,0.590690862498272,-0.373767529602986,"Urb"
"83",0.759031505421276,0.473278840948375,0.469198859717603,-0.373767529602986,"Br"
"84",0.82320419633756,0.790918869648286,0.502557920399671,-0.373767529602986,"Urb"
"85",0.897902902892587,1.17122257747947,0.449338910455609,-0.373767529602986,"Co"
"95",0.817782345223841,0.343629849642289,0.668116394229641,-0.373767529602986,"Co"
"105",0.859505183872382,1.21515918008876,0.301237402702909,1.62261690151088,"Co"
"119",0.746684086674018,0.69872403138618,0.382620789091472,-0.373767529602986,"Br"
"121",0.733277712631111,0.96018283052012,0.268267059888958,-0.373767529602986,"Co"
"169",0.386745181683179,-0.192252647756203,0.317104159319698,-0.373767529602986,"Co"
"260",0.264562919671284,0.587802116602084,-0.0608709604423834,-0.373767529602986,"Br"
"262",0.191325571424251,0.53594252007965,-0.172468326580066,-0.373767529602986,"Co"
"304",0.00655905143954575,0.296091886163389,-0.217736289221728,-0.373767529602986,"Br"
"319",0.0322069487001459,-0.0424360355802805,-0.0600935247061487,-0.373767529602986,"Co"
"382",-0.337982643552568,-0.394649128628482,0.379051652302395,-0.373767529602986,"Br"
"384",-0.049141997111552,-0.171364754712444,-0.0628498877709805,4.81683199129307,"Urb"
"395",-0.34764031584888,0.00798301659430883,0.035213028958617,-0.373767529602986,"Co"
"429",-0.782892121466222,-0.661149832979881,-1.03128744920328,-0.373767529602986,"Co"
"450",-0.811780421931506,-0.819609711242876,-0.859368137531387,-0.373767529602986,"Op"
"467",-1.18066326334939,-0.847700326025861,-1.48470917336813,-0.373767529602986,"Co"
"485",-1.27544823395227,-1.27266090864026,-1.32908067416916,-0.373767529602986,"Co"
"503",-1.23263043552803,-1.25897573733572,-1.4680649810151,-0.373767529602986,"Co"
"518",-1.72328678221369,-1.79053660169068,-1.59906290257064,-0.373767529602986,"We"
"530",-1.93956781179689,-1.93891266951875,-1.3338513025506,-0.373767529602986,"Co"
"578",-1.77551445739506,-1.66592951560205,-1.55856556831042,-0.373767529602986,"Co"
"591",-1.93515620403522,-1.86256381908295,-1.74638697458711,-0.373767529602986,"Op"
"593",-1.8113982165434,-1.58453875994879,-1.78250239833401,-0.373767529602986,"We"
