"","Phylloscopus_collybita_rep1","Phylloscopus_collybita_rep2","Phylloscopus_collybita_rep3","Tetrao_tetrix_rep1","Tetrao_tetrix_rep2","Tetrao_tetrix_rep3","Tringa_ochropus_rep1","Tringa_ochropus_rep2","Tringa_ochropus_rep3","Turdus_viscivorus_rep1","Turdus_viscivorus_rep2","Turdus_viscivorus_rep3","Sylvia_communis_rep1","Sylvia_communis_rep2","Sylvia_communis_rep3","Phylloscopus_sibilatrix_rep1","Phylloscopus_sibilatrix_rep2","Phylloscopus_sibilatrix_rep3"
"14",1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"15",0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"26",1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0
"32",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"39",1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0
"47",1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0
"50",0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
"51",1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0
"59",1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
"69",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"83",1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"84",1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
"85",0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
"95",1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0
"105",0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1
"119",0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1
"121",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"169",1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
"260",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
"262",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"304",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
"319",0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"382",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
"384",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"395",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"429",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"450",0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
"467",0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"485",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"503",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"518",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"578",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
