"","site_01","site_02","site_03","site_04","site_05","site_06","site_07","site_08","site_09","site_10","site_11","site_12"
"site_01",0,1.34804154238658,2.67605754796118,3.96595965688003,5.20086300530979,6.36891081740041,7.46118120675272,8.47634355131975,9.41600531010895,10.2902925614387,11.1131950401313,11.9023575815886
"site_02",1.34804154238658,0,1.32810993520868,2.61841555143564,3.854400083022,5.0247070561377,6.12110782456901,7.1430648884075,8.0931973904014,8.98260680426345,9.82624729996147,10.6425637888622
"site_03",2.67605754796118,1.32810993520868,0,1.29068044069785,2.52786787629417,3.70079572524613,4.80204633463693,5.83198113851545,6.79436119145869,7.701332417186,8.5688330594078,9.41604078155994
"site_04",3.96595965688003,2.61841555143564,1.29068044069785,0,1.23810338825156,2.41354531757744,3.51984104754746,4.55835452767772,5.5341109493757,6.46034248318152,7.35394560763132,8.23470120890855
"site_05",5.20086300530979,3.854400083022,2.52786787629417,1.23810338825156,0,1.17713253289509,2.28786385084428,3.3346568039305,4.32390610443844,5.26993595786514,6.1905230796759,7.10586264995321
"site_06",6.36891081740041,5.0247070561377,3.70079572524613,2.41354531757744,1.17713253289509,0,1.11359777298628,2.16730823834544,3.16898106652596,4.13399758103461,5.08088663522421,6.03002495848898
"site_07",7.46118120675272,6.12110782456901,4.80204633463693,3.51984104754746,2.28786385084428,1.11359777298628,0,1.05783977992889,2.06928997484644,3.05072384853169,4.02126460208726,5.00123194823036
"site_08",8.47634355131975,7.1430648884075,5.83198113851545,4.55835452767772,3.3346568039305,2.16730823834544,1.05783977992889,0,1.01715092292147,2.01089059871491,3.00077056770424,4.00683865410126
"site_09",9.41600531010895,8.0931973904014,6.79436119145869,5.5341109493757,4.32390610443844,3.16898106652596,2.06928997484644,1.01715092292147,0,1.00026446502912,2.00347797592087,3.02925733472744
"site_10",10.2902925614387,8.98260680426345,7.701332417186,6.46034248318152,5.26993595786514,4.13399758103461,3.05072384853169,2.01089059871491,1.00026446502912,0,1.00989157833898,2.04847479847813
"site_11",11.1131950401313,9.82624729996147,8.5688330594078,7.35394560763132,6.1905230796759,5.08088663522421,4.02126460208726,3.00077056770424,2.00347797592087,1.00989157833898,0,1.04460710317325
"site_12",11.9023575815886,10.6425637888622,9.41604078155994,8.23470120890855,7.10586264995321,6.03002495848898,5.00123194823036,4.00683865410126,3.02925733472744,2.04847479847813,1.04460710317325,0
