"","sp_01","sp_02","sp_03","sp_04","sp_05","sp_06"
"site_01",2,1,1,1,2,5
"site_02",1,0,1,0,2,2
"site_03",0,1,1,0,4,1
"site_04",0,0,1,0,0,2
"site_05",2,0,1,1,2,3
"site_06",2,0,1,1,1,1
"site_07",2,0,0,1,0,2
"site_08",0,1,0,1,0,1
"site_09",2,3,3,2,1,0
"site_10",1,2,1,1,3,3
"site_11",1,0,0,0,2,3
"site_12",0,0,0,1,0,0
"site_13",0,0,3,0,3,1
"site_14",1,1,2,2,3,0
"site_15",2,1,4,0,1,0
"site_16",0,1,1,2,2,1
"site_17",1,2,1,2,1,0
"site_18",1,1,0,2,1,1
"site_19",0,2,0,0,3,3
"site_20",1,2,0,0,2,2
"site_21",1,0,0,2,1,2
"site_22",0,0,4,1,0,6
"site_23",2,2,2,0,2,11
"site_24",1,0,0,0,0,6
"site_25",0,2,5,4,2,5
"site_26",1,0,2,1,2,8
"site_27",2,1,2,2,3,3
"site_28",1,2,1,3,1,3
"site_29",1,2,1,1,3,4
"site_30",1,1,0,2,1,3
