"","sp_01","sp_02","sp_03","sp_04","sp_05","sp_06"
"site_01",-1.5017,-2.2041,-0.3123,-0.9372,0.2335,-0.4026
"site_02",-1.6796,-2.2884,-0.105,-1.1963,0.636,0.003
"site_03",-0.9519,-1.5875,0.0589,-0.5878,-0.0653,0.1174
"site_04",-2.0785,-1.3023,-0.4876,-0.9125,0.1443,-0.312
"site_05",-1.2783,-1.6628,-0.5217,-0.9246,-0.2815,0.4992
"site_06",-1.0973,-1.0721,-0.156,-0.619,0.473,0.0355
"site_07",-0.9737,-1.9899,-0.1544,-0.1664,-0.4343,0.5283
"site_08",-0.7787,-1.4229,0.1225,-0.4159,0.2799,-0.1441
"site_09",-1.192,-0.9033,-0.1738,-0.5609,-0.0452,-0.2628
"site_10",-0.1645,-0.9727,-0.429,-0.6115,0.9466,-0.6351
"site_11",-0.6764,-1.0031,-0.2771,-0.2762,0.4999,0.3149
"site_12",-1.7393,-0.1684,-1.3106,0.0211,0.164,-0.0672
"site_13",-0.3701,-0.5447,0.3033,-0.0808,0.9302,0.4648
"site_14",-0.9789,-0.9768,-0.7546,0.3743,0.832,0.7391
"site_15",-1.3414,-0.8465,0.1437,-0.443,0.3697,1.4871
"site_16",-1.8885,0.0584,-0.4337,0.7233,0.0014,0.7736
"site_17",-0.8572,-0.6104,-0.4784,-0.1635,0.1011,0.7587
"site_18",-0.8674,-0.5751,-0.0187,-0.0102,0.4636,0.8449
"site_19",-0.4224,-0.6716,0.1177,0.1236,0.1411,1.7595
"site_20",-1.5381,0.0983,-0.5454,1.013,-0.7164,0.6759
"site_21",-0.8798,0.432,-0.2191,0.3083,0.0512,1.4336
"site_22",-0.263,0.1838,0.3766,0.4076,0.569,1.2354
"site_23",-0.3103,-0.125,0.2709,0.917,0.3378,1.37
"site_24",-0.9638,0.5338,-0.9085,1.0811,-0.1844,1.3652
"site_25",-0.4615,0.3227,-0.0716,1.0127,0.3344,1.9187
"site_26",-0.8578,1.0686,-0.3055,0.8049,-0.3122,1.4504
"site_27",-0.4513,1.1473,0.5247,1.3373,0.3055,3.0998
"site_28",-0.4861,0.5604,-0.6926,1.436,-0.3052,1.9354
"site_29",-0.2705,0.9821,-0.0122,1.0769,0.4506,2.3003
"site_30",-1.0164,0.7585,0.7928,1.0955,0.3331,1.4901
