"","x","y"
"site_01",0.0219,-0.0373
"site_02",1.0172,0.0234
"site_03",1.9707,0.0388
"site_04",3.0031,0.0097
"site_05",3.9918,0.0332
"site_06",5.0197,0.0059
"site_07",-0.0106,1.2585
"site_08",0.9805,1.245
"site_09",2.0088,1.2478
"site_10",2.9986,1.2313
"site_11",4.0206,1.2666
"site_12",4.9859,1.2398
"site_13",0.0178,2.4982
"site_14",0.9862,2.4866
"site_15",2.0362,2.4596
"site_16",2.9881,2.5262
"site_17",3.9945,2.4866
"site_18",5.0015,2.491
"site_19",0.0065,3.7226
"site_20",1.0054,3.7554
"site_21",1.9971,3.7636
"site_22",2.9798,3.747
"site_23",3.9729,3.7393
"site_24",4.9737,3.7007
"site_25",0.02,5.0174
"site_26",0.9666,5.0082
"site_27",2.0062,5.0194
"site_28",2.9893,5.0075
"site_29",4.0048,4.9977
"site_30",4.9744,5.0193
