"","obs_rep1","obs_rep2","obs_rep3"
"site_01",0.321,0.766,0.289
"site_02",0.244,0.6,0.807
"site_03",0.887,0.357,0.616
"site_04",0.777,0.295,0.487
"site_05",0.224,0.458,0.787
"site_06",0.257,0.823,0.822
"site_07",0.727,0.57,0.597
"site_08",0.419,0.851,0.807
"site_09",0.811,0.313,0.467
"site_10",0.918,0.62,0.91
"site_11",0.841,0.258,0.304
"site_12",0.546,0.227,0.383
"site_13",0.741,0.635,0.233
"site_14",0.654,0.782,0.83
"site_15",0.219,0.533,0.95
"site_16",0.334,0.719,0.793
"site_17",0.699,0.722,0.887
"site_18",0.977,0.856,0.501
"site_19",0.427,0.83,0.75
"site_20",0.292,0.307,0.998
"site_21",0.962,0.854,0.27
"site_22",0.388,0.337,0.335
"site_23",0.839,0.864,0.835
"site_24",0.879,0.813,0.294
"site_25",0.805,0.955,0.841
"site_26",0.712,0.303,0.214
"site_27",0.838,0.67,0.63
"site_28",0.953,0.272,0.416
"site_29",0.206,0.327,0.24
"site_30",0.238,0.948,0.369
