"","site_01","site_02","site_03","site_04","site_05","site_06","site_07","site_08","site_09","site_10","site_11","site_12","site_13","site_14","site_15","site_16","site_17","site_18","site_19","site_20","site_21","site_22","site_23","site_24","site_25","site_26","site_27","site_28","site_29","site_30"
"site_01",0,0.997149226545355,1.95028527400481,2.98157046537559,3.97052594249175,4.99798670266338,1.29620750267849,1.60100195190387,2.36627420642663,3.23575166692378,4.20591926931557,5.12564926716606,2.53550331492586,2.70184116853674,3.20810132321284,3.92044317520354,4.70655096328511,5.58468594014023,3.75993153794055,3.91814312398105,4.28348641295849,4.80313427878089,5.4656297496263,6.20427008116184,5.05470035709339,5.13317916500097,5.43209548701051,5.85281725325505,6.41986895582768,7.07788526397539
"site_02",0.997149226545355,0,0.953624354764495,1.98594725509012,2.9746161433032,4.00253825715633,1.60681201451819,1.22215115677235,1.57557161690607,2.32055346199996,3.25053192570078,4.15092864910974,2.66897647048452,2.46339506372811,2.64072555181336,3.18566392609139,3.86415185131226,4.68654416921467,3.83478749476421,3.73201865483012,3.8664324706375,4.20915617671761,4.74806016179239,5.40152085435204,5.09258714603884,4.98505681010758,5.09294973468225,5.36007753861826,5.80253515715329,6.37326044109293
"site_03",1.95028527400481,0.953624354764495,0,1.03281003577618,2.02110775813661,3.04917749729333,2.326632282936,1.56058145574014,1.20960018601189,1.5743680192382,2.38947334155458,3.24558654791395,3.14045645886072,2.63836409352462,2.42168596023514,2.68742656085706,3.17608111987084,3.89859378237846,4.17474119916433,3.83991141173856,3.72489355552612,3.84304957683348,4.207434502164,4.7357703291017,5.34711964051675,5.06982772586998,4.9807265142748,5.07203367989606,5.35987425412201,5.8161494083285
"site_04",2.98157046537559,1.98594725509012,1.03281003577618,0,0.988979241440386,2.01660358028047,3.26219084818776,2.36999511602872,1.58793076045525,1.2216082882823,1.61712827567883,2.33337563414038,3.88646990725517,3.19420087345802,2.63380060369042,2.51654470455027,2.66794069836644,3.18597744028422,4.7712931129831,4.24512352941584,3.88636092122181,3.73737263060562,3.85362533207368,4.18410627972092,5.82888882206549,5.397437771758,5.10792557698328,4.99781905234673,5.08758753143374,5.38350404940871
"site_05",3.97052594249175,2.9746161433032,2.02110775813661,0.988979241440386,0,1.02826246649384,4.1857575001426,3.24598011854663,2.32541225592367,1.55624222086409,1.23373619546482,1.56336763750565,4.67641967748832,3.87979418526292,3.11637422656522,2.68746398859594,2.45340148569287,2.65711778624885,5.43086442935192,4.77214394166815,4.2302142085242,3.84921478226404,3.70614819185634,3.79666746766161,6.37318169205931,5.82258190496278,5.36701013600683,5.07431441083424,4.96451702081884,5.08199724222672
"site_06",4.99798670266338,4.00253825715633,3.04917749729333,2.01660358028047,1.02826246649384,0,5.18391018922975,4.22498585204732,3.25696705847634,2.36356729753989,1.60859109160781,1.23436285183896,5.58843116625766,4.73529246615243,3.86288958423613,3.23717633903376,2.68419588145128,2.48516664431181,6.24067569498688,5.49302782989491,4.82249106271852,4.26110563351814,3.87737872795527,3.69508633728632,7.07899232518301,6.43821597183568,5.84947557478446,5.39801136716106,5.09392670245656,5.01360465633261
"site_07",1.29620750267849,1.60681201451819,2.326632282936,3.26219084818776,4.1857575001426,5.18391018922975,0,0.991191939030983,2.01942834733001,3.00932292717149,4.03120813776714,4.99653499337291,1.24002526183945,1.58172053473425,2.37319014198189,3.25565123746387,4.18915929752021,5.16141479247696,2.46415933332242,2.69569390139163,3.21035594599727,3.89038872222301,4.69282866616713,5.55045829909567,3.75902455033217,3.87494128084543,4.2675345399891,4.80149987087368,5.48680725012279,6.24450491552373
"site_08",1.60100195190387,1.22215115677235,1.56058145574014,2.36999511602872,3.24598011854663,4.22498585204732,0.991191939030983,0,1.02830381211002,2.01814650112424,3.04017673334956,4.00540337544173,1.58028526855122,1.24161308385503,1.60927177630132,2.38158165931803,3.25971878541693,4.20962670554053,2.66217538114978,2.51052348525163,2.71603047111037,3.20268707338073,3.89563733553317,4.68786825006847,3.89275763566138,3.76322567088396,3.91128570293708,4.26517100360583,4.81966262097255,5.4951412811683
"site_09",2.36627420642663,1.57557161690607,1.20960018601189,1.58793076045525,2.32541225592367,3.25696705847634,2.01942834733001,1.02830381211002,0,0.989937518230318,2.01188783981613,2.97711074869579,2.35108084931165,1.60634249150049,1.21210973100623,1.61038351022357,2.34043370553408,3.24064801081512,3.18336933609658,2.70090157540033,2.51582720591061,2.68120152916561,3.1725795592861,3.84803201909755,4.26206635330798,3.9021518422532,3.77160089617128,3.88545033940726,4.24803083910651,4.7978115438187
"site_10",3.23575166692378,2.32055346199996,1.5743680192382,1.2216082882823,1.55624222086409,2.36356729753989,3.00932292717149,2.01814650112424,0.989937518230318,0,1.02260945135472,1.98731817784672,3.23885847946464,2.37182036630096,1.56042771380157,1.29494257015514,1.60237164852602,2.36610492159583,3.8934866251215,3.21619760742402,2.72314992976883,2.51577024586905,2.69059928082946,3.16211264347113,4.81732406736354,4.28882240364415,3.91593658911888,3.77621145197141,3.89848783504579,4.27232134091058
"site_11",4.20591926931557,3.25053192570078,2.38947334155458,1.61712827567883,1.23373619546482,1.60859109160781,4.03120813776714,3.04017673334956,2.01188783981613,1.02260945135472,0,0.965671957757913,4.18798834764377,3.27047142779141,2.31540328236789,1.62869530913551,1.2202791524893,1.56885951251219,4.70584049984697,3.90967472815834,3.21396347987963,2.68991613252161,2.47316003930195,2.61404713423458,5.48391292782809,4.82975015502873,4.2592622835416,3.88045261535301,3.73113345379122,3.8720139113903
"site_12",5.12564926716606,4.15092864910974,3.24558654791395,2.33337563414038,1.56336763750565,1.23436285183896,4.99653499337291,4.00540337544173,2.97711074869579,1.98731817784672,0.965671957757913,0,5.12499640682801,4.18952387867643,3.19196524573812,2.37613758019185,1.59291688420959,1.25129724686023,5.56405609245629,4.70878154197028,3.9118399609391,3.2109950249105,2.6969740914588,2.46093024078294,6.23942501918246,5.50959263920664,4.81289811340319,4.26403269804536,3.88386014423795,3.77951749566
"site_13",2.53550331492586,2.66897647048452,3.14045645886072,3.88646990725517,4.67641967748832,5.58843116625766,1.24002526183945,1.58028526855122,2.35108084931165,3.23885847946464,4.18798834764377,5.12499640682801,0,0.968469472931388,2.01876906059113,2.97043197026964,3.97671691851457,4.9837052009524,1.22445214279693,1.59871998799039,2.34922660677935,3.2144899191007,4.14525574844303,5.09970107555335,2.51920096062224,2.68334146913881,3.21094752370698,3.88926712119392,4.70570603097984,5.560919777339
"site_14",2.70184116853674,2.46339506372811,2.63836409352462,3.19420087345802,3.87979418526292,4.73529246615243,1.58172053473425,1.24161308385503,1.60634249150049,2.37182036630096,3.27047142779141,4.18952387867643,0.968469472931388,0,1.05034708549127,2.00229162960843,3.0083,4.01530241077805,1.57718359425908,1.26894526280687,1.62869512493898,2.35861169334844,3.23877047349762,4.16823644482892,2.70896494624792,2.52167617270735,2.7304717248124,3.21983639646489,3.92652125551359,4.72443737708523
