"","pH","moisture","canopy","elevation","substrate"
"site_01",5.385,0.192,10.122,72.772,"sand"
"site_02",5.51,0.221,13.698,92.9,"loam"
"site_03",5.509,0.209,14.864,95.333,"clay"
"site_04",5.619,0.19,17.191,123.616,"rock"
"site_05",5.772,0.206,18.48,132.985,"sand"
"site_06",5.794,0.265,27.414,144.767,"loam"
"site_07",5.749,0.338,25.211,156.213,"clay"
"site_08",5.891,0.381,27.774,180.057,"rock"
"site_09",5.964,0.378,32.105,184.41,"sand"
"site_10",6.004,0.356,29.403,196.945,"loam"
"site_11",6.15,0.359,33.82,206.947,"clay"
"site_12",6.264,0.408,39.24,218.408,"rock"
"site_13",6.299,0.481,43.393,239.459,"sand"
"site_14",6.298,0.536,47.699,246.555,"loam"
"site_15",6.454,0.545,47.349,261.353,"clay"
"site_16",6.464,0.524,48.883,271.137,"rock"
"site_17",6.534,0.516,49.681,292.078,"sand"
"site_18",6.653,0.552,52.818,313.061,"loam"
"site_19",6.682,0.623,56.933,314.311,"clay"
"site_20",6.767,0.687,58.69,331.953,"rock"
"site_21",6.754,0.709,60.286,333.598,"sand"
"site_22",6.853,0.693,61.455,357.305,"loam"
"site_23",7.027,0.677,69.149,371.221,"clay"
"site_24",7.06,0.7,67.541,391.996,"rock"
"site_25",7.133,0.764,72.217,399.604,"sand"
"site_26",7.146,0.835,77.257,413.639,"loam"
"site_27",7.284,0.87,74.792,427.484,"clay"
"site_28",7.308,0.862,81.348,434.478,"rock"
"site_29",7.443,0.841,82.066,448.168,"sand"
"site_30",7.532,0.851,84.493,461.383,"loam"
