"","sp_01","sp_02","sp_03","sp_04","sp_05","sp_06"
"site_01",-1.3976,-2.1247,-0.696,-0.9901,0.3736,-0.0856
"site_02",-1.5672,-1.6219,-0.2341,-1.0153,0.6487,-0.1756
"site_03",-1.2432,-1.6295,-0.2663,-0.8574,0.3433,0.2559
"site_04",-1.6634,-1.1071,-0.5026,-0.6585,-0.042,-0.3404
"site_05",-1.0967,-1.577,-0.3043,-0.8279,0.3238,0.1409
"site_06",-1.256,-1.2855,-0.5722,-0.7405,0.4688,0.1001
"site_07",-1.403,-1.8064,-0.247,-0.4606,0.1473,0.3798
"site_08",-1.0837,-1.0973,-0.436,-0.2276,0.239,-0.1881
"site_09",-1.0405,-1.3141,-0.0761,-0.3387,0.1563,0.1714
"site_10",-0.6438,-1.1985,-0.3239,-0.4105,0.6895,-0.5549
"site_11",-1.1104,-1.0137,0.0536,-0.3277,0.7224,0.6921
"site_12",-1.5252,-0.1758,-0.7772,0.3111,0.2024,0.1235
"site_13",-0.4099,-0.6054,-0.0243,-0.2094,0.727,0.48
"site_14",-1.0487,-0.7751,-0.6832,0.2817,0.7106,0.3629
"site_15",-1.1464,-0.6348,0.488,-0.2824,0.2578,1.3115
"site_16",-1.2953,-0.1787,-0.3222,0.5201,0.2538,0.6988
"site_17",-0.9136,-0.6873,-0.3767,-0.0471,0.3296,0.8571
"site_18",-0.6286,-0.5043,-0.2932,0.0814,0.3837,0.6845
"site_19",-0.7245,-0.3581,-0.0492,0.1358,0.2572,1.5809
"site_20",-1.1401,0.2103,-0.1146,0.6929,-0.2638,1.1841
"site_21",-0.5872,-0.0309,-0.4026,0.4531,0.262,1.1033
"site_22",-0.4398,-0.0128,0.3959,0.4313,0.3728,1.1367
"site_23",-0.5274,0.3176,0.2665,0.3716,0.3621,1.6286
"site_24",-0.7766,0.3816,-0.5174,0.7782,-0.2274,1.7264
"site_25",-0.3253,0.6282,0.0301,1.0783,0.3397,1.3114
"site_26",-0.8649,0.7285,-0.3739,0.8457,-0.0012,1.6367
"site_27",-0.6363,0.9263,0.5211,0.7759,0.3249,2.3841
"site_28",-0.7692,0.9436,-0.5051,1.1335,-0.2717,1.9318
"site_29",-0.3213,0.8131,0.0786,0.7611,0.187,2.1317
"site_30",-0.7601,0.825,0.1958,1.0063,0.1273,1.7087
