"","sp_01","sp_02","sp_03","sp_04","sp_05","sp_06"
"site_01",0.198194,0.106722,0.332709,0.270888,0.592339,0.478603
"site_02",0.172622,0.164943,0.441739,0.265948,0.656728,0.456205
"site_03",0.223883,0.163897,0.433814,0.297888,0.585004,0.563627
"site_04",0.159313,0.248403,0.37694,0.341072,0.489499,0.415706
"site_05",0.250353,0.171215,0.42451,0.304091,0.580257,0.535171
"site_06",0.221667,0.216616,0.360731,0.322892,0.615099,0.525011
"site_07",0.197338,0.141078,0.438563,0.386844,0.536747,0.593832
"site_08",0.252816,0.250254,0.392702,0.443353,0.559478,0.453105
"site_09",0.261057,0.211798,0.480994,0.416125,0.539,0.542742
"site_10",0.344386,0.231747,0.419716,0.398786,0.665861,0.364717
"site_11",0.247787,0.266262,0.513398,0.418792,0.673145,0.666432
"site_12",0.178691,0.456156,0.314932,0.577148,0.550429,0.530836
"site_13",0.398947,0.353119,0.493921,0.447841,0.674142,0.617741
"site_14",0.259468,0.315378,0.335554,0.569973,0.670531,0.589733
"site_15",0.241154,0.346423,0.619636,0.429855,0.564083,0.787763
"site_16",0.214958,0.455434,0.420142,0.627164,0.563101,0.667928
"site_17",0.286258,0.334643,0.406911,0.488239,0.58165,0.702047
"site_18",0.347826,0.376534,0.427215,0.520342,0.594761,0.664745
"site_19",0.326409,0.411413,0.487696,0.533886,0.563946,0.829329
"site_20",0.242309,0.552375,0.471371,0.666605,0.434419,0.765675
"site_21",0.357284,0.49227,0.400679,0.611385,0.565125,0.750879
"site_22",0.391786,0.496803,0.597704,0.606185,0.592135,0.757068
"site_23",0.37112,0.578731,0.566238,0.591839,0.589548,0.835979
"site_24",0.31506,0.594267,0.373459,0.685294,0.443387,0.848951
"site_25",0.419392,0.652077,0.507525,0.746173,0.584123,0.787747
"site_26",0.296326,0.674486,0.407605,0.699659,0.499705,0.837084
"site_27",0.346081,0.716315,0.627397,0.684795,0.580529,0.915609
"site_28",0.316652,0.71982,0.376348,0.756488,0.432478,0.873454
"site_29",0.420351,0.692778,0.519631,0.681597,0.546626,0.893944
"site_30",0.318625,0.69529,0.548787,0.732296,0.531773,0.846673
